,pos_caption,neg_caption,pos_image_id,pos_subject,pos_verb,pos_object,neg_verb,pos_matched_tense,neg_matched_tense
3,A car passes another on a street.,a car hits another on a street.,6,car,pass,street,hit,passes, hits
9,A girl is sitting in the meadow.,a girl is standing in the meadow.,18,girl,sit,meadow,stand,sitting, standing
11,A dog sitting in a meadow.,a dog running in a meadow.,22,dog,sit,meadow,run,sitting, running
16,Women trek through the forrest.,women run through the forrest.,32,woman,trek,forest,run,trek, run
17,A lady sits in the sand on the beach.,a lady walks in the sand on the beach.,34,lady,sit,beach,walk,sits, walks
25,The players play a golf match.,the players pass a golf match.,50,player,play,match,pass,play, pass
27,girl stand near tree,girl sit near tree,54,girl,stand,tree,sit,stand, sit
39,A girl crosses the road.,a girl runs the road.,78,girl,cross,road,run,crosses, runs
42,A person is holding a picture.,a person is getting a picture.,84,person,hold,picture,get,holding, getting
45,man stand behind the wall,man sit behind the wall,90,man,stand,wall,sit,stand, sit
46,A well-dressed man crosses the street.,a well-dressed man runs the street.,92,man,cross,street,run,crosses, runs
47,A woman is running in the field.,a woman is walking in the field.,94,woman,run,field,walk,running, walking
49,person standing at window,person sitting at window,98,person,stand,window,sit,standing, sitting
56,A footballer vies for another player.,a footballer competes for another player.,112,footballer,vie,player,compete,vies, competes
57,girl stand near tree,girl sit near tree,54,girl,stand,tree,sit,stand, sit
58,A woman sits in a hammock.,a woman lies in a hammock.,115,woman,sit,hammock,lie,sits, lies
60,A man runs on a sidewalk.,a man walks on a sidewalk.,119,man,run,sidewalk,walk,runs, walks
61,A WOMAN STANDS IN THE SHORE,a woman sits in the shore,120,woman,stand,shore,sit,stands, sits
63,"woman, ball, outside","woman, ball, outside",124,player,toss,ball,push,No match,
64,A kid is will walk on the beach.,a kid is will sit on the beach.,126,kid,walk,beach,sit,walk, sit
66,A woman jogging along the coast.,a woman stretching along the coast.,130,woman,jog,coast,stretch,jogging, stretching
67,Woman runs on road.,woman walks on road.,20,woman,run,road,walk,runs, walks
69,Person bringing the ball.,person grabbing the ball.,135,person,bring,ball,grab,bringing, grabbing
70,A woman sits on a tree.,a woman stands on a tree.,137,woman,sit,tree,stand,sits, stands
78,Pretty girl floats in the water.,pretty girl jumps in the water.,152,girl,float,water,jump,floats, jumps
88,A woman carries a dog.,a woman feeds a dog.,172,woman,carry,dog,feed,carries, feeds
93,Players are looking from the sideline.,players are walking from the sideline.,182,player,look,sideline,walk,looking, walking
99,The kid will run on the street.,the kid will walk on the street.,194,kid,run,street,walk,run, walk
103,Cat lies on the grass.,cat sits on the grass.,202,cat,lie,grass,sit,lies, sits
106,The people are putting on a play on a stage.,the people are putting on a sing on a stage.,207,person,play,stage,sing,play, sing
116,A dog is laying on the grass.,a dog is sitting on the grass.,227,dog,lay,grass,sit,laying, sitting
118,The girl will sit on the fence.,the girl will stand on the fence.,230,girl,sit,fence,stand,sit, stand
126,A man is standing at a desk.,a man is sitting at a desk.,244,man,stand,desk,sit,standing, sitting
135,A woman sits in a field.,a woman runs in a field.,260,woman,sit,field,run,sits, runs
138,The people stood in the front.,the people hung in the front.,266,person,stand,front,hang,stood, hung
140,person tells about another difficult person,person captures about another difficult person,270,person,tell,person,capture,tells, captures
141,A person swims in the sea.,a person runs in the sea.,272,person,swim,sea,run,swims, runs
158,The woman was hitchhiking on the road.,the woman was running on the road.,301,woman,hitchhike,road,run,hitchhiking, running
167,The man is sitting near the shore.,the man is standing near the shore.,317,man,sit,shore,stand,sitting, standing
169,A girl sits in the classroom.,a girl stands in the classroom.,321,girl,sit,classroom,stand,sits, stands
173,A football player celebrates in front of another player.,a football player vies in front of another player.,329,player,celebrate,footballer,vie,celebrates, vies
180,The man will sit on the pier.,the man will walk on the pier.,343,man,sit,pier,walk,sit, walk
