,image_id,pos_caption,neg_caption,subject,pos_verb,object,neg_verb
0,exercising_255.jpg,A man exercises his torso.,A man lifts his torso.,man,exercises,torso,lifts
1,turning_172.jpg,A male child turns his head.,A male child lifts his head.,male,turns,head,lifts
2,preaching_116.jpg,A preacher preaches to the onlooker.,A preacher speaks to the onlooker.,preacher,preaches,onlooker,speaks
3,displaying_251.jpg,A man displays a certificate.,A man carries a certificate.,man,displays,certificate,carries
4,unveiling_139.jpg,The people unveil the prize.,The people offer the prize.,people,unveil,prize,offer
5,unveiling_74.jpg,A man unveils a statue.,A man carves a statue.,man,unveils,statue,carves
6,sucking_143.jpg,A woman sucks on a candy cane.,A woman sits on a candy cane.,woman,sucks,cane,sits
7,clapping_56.jpg,A toddler claps out a hand.,A toddler stretches out a hand.,toddler,claps,hand,stretches
8,parachuting_100.jpg,The people parachute into the parachute.,The people climb into the parachute.,people,parachute,parachute,climb
9,reading_114.jpg,A girl reads a book.,A girl writes a book.,girl,reads,book,writes
10,teaching_68.jpg,A teacher teaches a student.,A teacher helps a student.,teacher,teaches,student,helps
11,peeing_5.jpg,A dog pees on a fireplug.,A dog sits on a fireplug.,dog,pees,fireplug,sits
12,arching_231.jpg,A man arches his back.,A man turns his back.,man,arches,back,turns
13,rehabilitating_199.jpg,A woman rehabilitates a person.,A woman helps a person.,woman,rehabilitates,person,helps
14,packaging_199.jpg,The people package the food.,The people eat the food.,people,package,food,eat
15,paying_50.jpg,A person pays another person.,A person helps another person.,person,pays,person,helps
16,nuzzling_181.jpg,A horse nuzzles a horse.,A horse rides a horse.,horse,nuzzles,horse,rides
17,counting_103.jpg,A person counts money.,A person pays money.,person,counts,money,pays
18,wringing_140.jpg,A person wrings out a towel.,A person pulls out a towel.,person,wrings,towel,pulls
19,shopping_132.jpg,A woman shops produce.,A woman sells produce.,woman,shops,produce,sells
20,socializing_320.jpg,The people socialize with the people.,The people talk with the people.,people,socialize,people,talk
21,talking_27.jpg,A man talks with a cellular telephone.,A man calls with a cellular telephone.,man,talks,telephone,calls
22,disembarking_35.jpg,The people disembark from ship.,The people emerge from ship.,people,disembark,ship,emerge
23,drooling_170.jpg,A baby drools over clothing.,A baby kicks over clothing.,baby,drools,clothing,kicks
24,lacing_36.jpg,A woman laces up a gym shoe.,A woman pulls up a gym shoe.,woman,laces,shoe,pulls
25,tackling_110.jpg,A person tackles another person.,A person eats another person.,person,tackles,person,eats
26,riding_24.jpg,A man rides the raft.,A man boards the raft.,man,rides,raft,boards
27,boating_46.jpg,A person boats a motorboat.,A person drives a motorboat.,person,boats,motorboat,drives
28,nuzzling_264.jpg,A wife nuzzles her husband.,A wife serves her husband.,wife,nuzzles,husband,serves
29,kneading_7.jpg,A woman kneads dough.,A woman bakes dough.,woman,kneads,dough,bakes
30,disembarking_135.jpg,The people disembark an airplane.,The people board an airplane.,people,disembark,airplane,board
31,applauding_36.jpg,A guest applauds a speaker.,A guest provides a speaker.,guest,applauds,speaker,provides
32,inflating_144.jpg,A man inflates his mouth.,A man drops his mouth.,man,inflates,mouth,drops
33,rowing_259.jpg,The people row in a boat.,The people sit in a boat.,people,row,boat,sit
34,carving_74.jpg,A person carves wood.,A person burns wood.,person,carves,wood,burns
35,talking_247.jpg,A man talks to a person.,A man leads to a person.,man,talks,person,leads
36,reading_10.jpg,A woman reads through a book.,A woman flips through a book.,woman,reads,book,flips
37,disciplining_110.jpg,A woman disciplines a male child.,A woman teaches a male child.,woman,disciplines,child,teaches
38,complaining_6.jpg,A woman complains to a cockroach.,A woman speaks to a cockroach.,woman,complains,cockroach,speaks
39,puckering_109.jpg,A woman puckers her lip.,A woman bites her lip.,woman,puckers,lip,bites
40,encouraging_24.jpg,A young buck encourages a girl.,A young buck chases a girl.,young,encourages,girl,chases
41,talking_258.jpg,A man talks to a man.,A man calls to a man.,man,talks,man,calls
42,hurling_20.jpg,A man hurls the ball.,A man chases the ball.,man,hurls,ball,chases
43,sitting_155.jpg,A dog sits beside a dog.,A dog kneels beside a dog.,dog,sits,dog,kneels
44,biting_235.jpg,A woman bites her shoe.,A woman examines her shoe.,woman,bites,shoe,examines
45,heaving_42.jpg,A man heaves a rock.,A man rides a rock.,man,heaves,rock,rides
46,bothering_202.jpg,A woman bothers the usher.,A woman calls the usher.,woman,bothers,usher,calls
47,reading_119.jpg,An old man reads through a book.,An old man turns through a book.,old,reads,book,turns
48,falling_136.jpg,A sprinter falls off a racetrack.,A sprinter pulls off a racetrack.,sprinter,falls,racetrack,pulls
49,disembarking_34.jpg,The people disembark from a ferry.,The people board a ferry.,people,disembark,ferry,board
50,admiring_240.jpg,A person admires a woman.,A person calls a woman.,person,admires,woman,calls
