,image_id,pos_caption,neg_caption,pos_verb,neg_verb,subject,object
0,VG_100K_2/2408124.jpg,steam coming from train,steam opening train,come,open,steam,train
1,VG_100K/2376832.jpg,child brushing teeth,child photographing teeth,brush,photograph,child,teeth
2,VG_100K_2/3968.jpg,emblem hanging on wall,emblem biting wall,hang,bite,emblem,wall
3,VG_100K_2/2417425.jpg,tennis player swinging racket,tennis player grabbing racket,swinge,grab,tennis player,racket
4,VG_100K_2/2417425.jpg,tennis player leaping shadow,tennis player using shadow,leap,use,tennis player,shadow
5,VG_100K_2/2417425.jpg,man holding tennis racket,man kicking tennis racket,hold,kick,man,tennis racket
6,VG_100K_2/2417425.jpg,man WEARING shoe,man exiting shoe,wear,exit,man,shoe
7,VG_100K_2/2417425.jpg,shoes worn socks,shoes drinking socks,wear,drink,shoes,socks
8,VG_100K_2/2417425.jpg,man WEARING shorts,man preparing shorts,wear,prepare,man,shorts
9,VG_100K_2/2417425.jpg,man wears shorts,man throwing shorts,wear,throw,man,shorts
10,VG_100K_2/2417425.jpg,man wears shirt,man riding shirt,wear,ride,man,shirt
11,VG_100K/2317897.jpg,man wearing a shirt,man holding shirt,wear,hold,man,shirt
12,VG_100K/2317897.jpg,man WEARING blue jeans,man pulling blue jeans,wear,pull,man,jeans
13,VG_100K/2317897.jpg,person wearing a jacket,person pulling jacket,wear,pull,person,jacket
14,VG_100K/2317897.jpg,person wearing a jacket,person adjusting jacket,wear,adjust,person,jacket
15,VG_100K/2317897.jpg,person looking up at sky,person slicing sky,look,slice,person,sky
16,VG_100K/150381.jpg,window starts on floor,window cutting floor,start,cut,window,floor
17,VG_100K/2344712.jpg,player holding bat,player making bat,hold,make,player,bat
18,VG_100K/2344712.jpg,players standing in field,players catching field,stand,catch,players,field
19,VG_100K/2353639.jpg,girl wearing a dress,girl helping dress,wear,help,girl,dress
20,VG_100K/2353639.jpg,person sitting on floor,person leading floor,sit,lead,person,floor
21,VG_100K/2353639.jpg,person sitting on floor,person moving floor,sit,move,person,floor
22,VG_100K/2353639.jpg,woman sitting on floor,woman looking floor,sit,look,woman,floor
23,VG_100K/2353302.jpg,plant grows on rocks,plant kicking rocks,grow,kick,plant,rocks
24,VG_100K_2/2385073.jpg,skier holding ski pole,skier cutting ski pole,hold,cut,skier,ski pole
25,VG_100K_2/2385073.jpg,skier holding ski pole,skier chewing ski pole,hold,chew,skier,ski pole
26,VG_100K_2/2385073.jpg,skier WEARING suit,skier facing suit,wear,face,skier,suit
27,VG_100K_2/2385073.jpg,ski worn by skier,ski towing skier,wear,tow,ski,skier
28,VG_100K_2/2400679.jpg,dog caught frisbee,dog using frisbee,catch,use,dog,frisbee
29,VG_100K/2351317.jpg,girl WEARING sunglasses,girl preparing sunglasses,wear,prepare,girl,sunglasses
30,VG_100K/2351317.jpg,girl WEARING tank top,girl observing tank top,wear,observe,girl,tank top
31,VG_100K/2351317.jpg,girl WEARING shirt,girl surrounding shirt,wear,surround,girl,shirt
32,VG_100K_2/2417103.jpg,person riding horse,person approaching horse,ride,approach,person,horse
33,VG_100K/2348732.jpg,wave coming into beach,wave licking beach,come,lick,wave,beach
34,VG_100K/2348732.jpg,man carrying surfboard,man following surfboard,carry,follow,man,surfboard
35,VG_100K_2/4977.jpg,people walking beside railing,people kissing railing,walk,kiss,people,railing
36,VG_100K_2/4977.jpg,window faces street,window tying street,face,tie,window,street
37,VG_100K_2/4977.jpg,window faces street,window pushing street,face,push,window,street
38,VG_100K/2345803.jpg,spectators sitting in stands,spectators decorating stands,sit,decorate,spectators,stands
39,VG_100K/2345803.jpg,spectators sitting in stands,spectators driving stands,sit,drive,spectators,stands
40,VG_100K/2345803.jpg,man WEARING red jacket,man following red jacket,wear,follow,man,jacket
41,VG_100K/2334726.jpg,animal pushed off in corner behind rock,animal making rock,push,make,animal,corner rock
42,VG_100K/2334726.jpg,ground covered in grass,ground kissing grass,cover,kiss,ground,grass
43,VG_100K/2344024.jpg,people carried by horse,people driving horse,carry,drive,people,horse
44,VG_100K_2/2400378.jpg,dog has an eye,dog guiding eye,have,guide,dog,eye
45,VG_100K_2/2412859.jpg,blue umbrella stuck in sand,blue umbrella cleaning sand,stick,clean,umbrella,sand
46,VG_100K_2/2380794.jpg,man has an ear,man driving ear,have,drive,man,ear
47,VG_100K_2/2380794.jpg,man WEARING glasses,man feeding glasses,wear,feed,man,glasses
48,VG_100K_2/2380794.jpg,man standing next to window,man kissing window,stand,kiss,man,window
49,VG_100K_2/2380794.jpg,man WEARING glasses,man grabbing glasses,wear,grab,man,glasses
50,VG_100K_2/2380794.jpg,medal hanging on door,medal pulling door,hang,pull,medal,door
51,VG_100K_2/2380794.jpg,man wearing a suit,man preparing suit,wear,prepare,man,suit
52,VG_100K/2351926.jpg,glass sits on coaster,glass riding coaster,sit,ride,glass,coaster
53,VG_100K/1592648.jpg,man wears hoodie,man covering hoodie,wear,cover,man,hoodie
54,VG_100K_2/2400372.jpg,woman sitting while on computer,woman entering computer,sit,enter,woman,computer
55,VG_100K/2362946.jpg,people standing on wet surface,people observing wet surface,stand,observe,people,surface
56,VG_100K/2362946.jpg,person walking with person,person riding person,walk,ride,person,person
57,VG_100K_2/2393176.jpg,road made of dirt,road slicing dirt,make,slice,road,dirt
58,VG_100K/2326193.jpg,bull walking near car,bull watching car,walk,watch,bull,car
59,VG_100K_2/3961.jpg,tree growing between cabin,tree pulling cabin,grow,pull,tree,cabin
60,VG_100K_2/3961.jpg,tree growing between cabin,tree holding cabin,grow,hold,tree,cabin
61,VG_100K_2/2385247.jpg,man looking at kite,man reading kite,look,read,man,kite
62,VG_100K_2/2385247.jpg,man looking at kite,man boarding kite,look,board,man,kite
63,VG_100K_2/2385247.jpg,girl WEARING shorts,girl guiding shorts,wear,guide,girl,shorts
64,VG_100K_2/2385247.jpg,girl WEARING tank top,girl preparing tank top,wear,prepare,girl,tank top
65,VG_100K_2/2385247.jpg,baby WEARING shoe,baby preparing shoe,wear,prepare,baby,shoe
66,VG_100K_2/2385247.jpg,baby carrier encircling man,baby carrier playing man,encircle,play,baby carrier,man
67,VG_100K/2361402.jpg,woman playing wii,woman dragging wii,play,drag,woman,wii
68,VG_100K/2361402.jpg,lady playing wii,lady leading wii,play,lead,lady,wii
69,VG_100K/2355132.jpg,cow standing next to drink,cow buying drink,stand,buy,cow,drink
70,VG_100K/2355132.jpg,cow standing next to drink,cow eating drink,stand,eat,cow,drink
71,VG_100K/2355132.jpg,cow standing next to drink,cow smelling drink,stand,smell,cow,drink
72,VG_100K/2355132.jpg,cow standing next to drinks,cow smoking drinks,stand,smoke,cow,drinks
73,VG_100K_2/2384025.jpg,man WEARING sunglasses,man hugging sunglasses,wear,hug,man,sunglasses
74,VG_100K_2/2384025.jpg,boy WEARING sock,boy carrying sock,wear,carry,boy,sock
75,VG_100K_2/2384025.jpg,man holding soccer ball,man covering soccer ball,hold,cover,man,soccer ball
76,VG_100K_2/2384025.jpg,man holding soccer ball,man reading soccer ball,hold,read,man,soccer ball
77,VG_100K_2/2384025.jpg,man WEARING sunglasses,man flying sunglasses,wear,fly,man,sunglasses
78,VG_100K_2/2384025.jpg,man WEARING shoe,man driving shoe,wear,drive,man,shoe
79,VG_100K_2/2384025.jpg,man WEARING shorts,man leaving shorts,wear,leave,man,shorts
